iter	Passed	Remaining
0	159	159143
1	160	79941
2	160	53437
3	161	40174
4	161	32225
5	162	26921
6	163	23134
7	163	20305
8	164	18106
9	165	16352
10	166	15002
11	169	13935
12	171	12994
13	172	12166
14	174	11433
15	175	10777
16	176	10218
17	177	9702
18	178	9229
19	179	8802
20	180	8418
21	181	8061
22	182	7744
23	182	7439
24	183	7158
25	184	6898
26	184	6659
27	185	6437
28	186	6227
29	186	6032
30	187	5849
31	187	5684
32	188	5523
33	189	5374
34	189	5231
35	190	5095
36	190	4966
37	191	4844
38	191	4729
39	192	4619
40	193	4514
41	193	4416
42	194	4321
43	194	4229
44	195	4143
45	195	4060
46	196	3980
47	196	3904
48	197	3830
49	197	3760
50	198	3692
51	198	3627
52	199	3564
53	200	3504
54	200	3446
55	201	3389
56	201	3335
57	202	3283
58	202	3234
59	203	3185
60	203	3138
61	204	3092
62	204	3047
63	205	3005
64	206	2964
65	206	2924
66	207	2884
67	207	2843
68	207	2805
69	208	2769
70	209	2734
71	209	2700
72	210	2667
73	210	2635
74	211	2603
75	211	2572
76	212	2542
77	212	2513
78	213	2488
79	213	2460
80	214	2433
81	214	2406
82	215	2381
83	216	2356
84	216	2330
85	217	2307
86	217	2281
87	217	2259
88	218	2236
89	219	2214
90	219	2192
91	220	2171
92	220	2151
93	221	2131
94	221	2111
95	222	2091
96	222	2072
97	223	2054
98	223	2036
99	224	2019
100	224	2002
101	225	1982
102	225	1966
103	226	1949
104	226	1934
105	227	1918
106	228	1903
107	228	1888
108	229	1874
109	230	1861
110	230	1848
111	231	1835
112	232	1821
113	232	1808
114	233	1796
115	234	1785
116	235	1773
117	235	1761
118	236	1749
119	236	1737
120	237	1725
121	238	1714
122	238	1700
123	239	1689
124	239	1678
125	240	1667
126	241	1656
127	241	1644
128	242	1634
129	242	1624
130	243	1616
131	244	1606
132	245	1597
133	245	1588
134	246	1579
135	247	1569
136	247	1560
137	248	1551
138	248	1542
139	249	1533
140	250	1524
141	250	1516
142	251	1507
143	252	1499
144	252	1491
145	253	1482
146	254	1474
147	254	1466
148	255	1458
149	256	1450
150	256	1443
151	257	1435
152	257	1427
153	258	1419
154	259	1412
155	259	1405
156	260	1398
157	261	1391
158	261	1384
159	262	1377
160	263	1371
161	263	1364
162	264	1357
163	264	1350
164	265	1344
165	266	1337
166	266	1331
167	267	1325
168	268	1318
169	268	1312
170	269	1306
171	270	1300
172	270	1294
173	271	1288
174	271	1281
175	272	1276
176	273	1270
177	273	1264
178	274	1259
179	275	1254
180	275	1248
181	276	1243
182	277	1238
183	278	1233
184	278	1228
185	279	1223
186	280	1218
187	280	1213
188	281	1208
189	282	1202
190	282	1197
191	283	1193
192	284	1188
193	284	1183
194	285	1178
195	286	1173
196	286	1169
197	287	1165
198	288	1161
199	289	1157
200	290	1153
201	291	1150
202	292	1146
203	292	1142
204	293	1138
205	294	1134
206	295	1130
207	295	1126
208	296	1122
209	297	1118
210	298	1115
211	299	1111
212	299	1107
213	300	1103
214	301	1100
215	302	1098
216	303	1094
217	304	1090
218	304	1087
219	305	1083
220	306	1079
221	307	1076
222	307	1072
223	308	1068
224	308	1064
225	309	1060
226	310	1056
227	310	1052
228	311	1049
229	312	1045
230	312	1041
231	313	1038
232	314	1034
233	315	1031
234	315	1027
235	316	1024
236	317	1020
237	317	1017
238	318	1013
239	318	1010
240	319	1006
241	320	1003
242	320	999
243	321	996
244	322	992
245	322	989
246	323	986
247	324	982
248	324	979
249	325	976
250	326	973
251	326	970
252	327	966
253	328	963
254	328	960
255	329	957
256	330	954
257	330	951
258	331	948
259	332	945
260	333	942
261	333	939
262	334	936
263	335	934
264	335	931
265	336	928
266	337	925
267	337	922
268	338	919
269	338	916
270	339	913
271	340	910
272	340	907
273	341	904
274	342	902
275	342	899
276	343	897
277	344	894
278	345	891
279	345	889
280	346	886
281	347	883
282	347	881
283	348	878
284	349	876
285	350	873
286	350	871
287	351	868
288	352	866
289	352	863
290	353	861
291	354	858
292	354	856
293	355	854
294	356	851
295	357	849
296	357	847
297	358	844
298	359	842
299	359	839
300	360	837
301	361	834
302	361	832
303	362	829
304	363	827
305	363	824
306	364	822
307	365	820
308	365	817
309	366	815
310	366	813
311	367	810
312	368	808
313	368	805
314	369	803
315	370	801
316	370	798
